sample	rc	libs
SRR5946643	3177	10109167
SRR5946644	2784	8649810
SRR5946646	4272	8696426
SRR5946648	3637	10420823
SRR5946649	4051	9202980
SRR5946650	4690	9305181
SRR5946651	4648	9585082
SRR5946652	5745	10272109
SRR5946653	3741	9798437
SRR5946658	7889	14773362
SRR5946659	3361	8584930
SRR5946662	2898	8998557
SRR5946664	9761	6343343
SRR5946665	3505	4953823
SRR5946666	2855	7764256
SRR5946667	5795	11524672
SRR5946668	15269	12248629
SRR5946669	6938	10741373
SRR5946670	7070	13381699
SRR5946671	5218	6923502
SRR5946674	2329	7704722
SRR5946676	8231	10291296
SRR5946678	4292	10329375
SRR5946680	3726	7350756
SRR5946677	8487	10421250
SRR5946682	6536	10659373
SRR5946681	4105	9085026
SRR5946683	5369	11415904
SRR5946684	1844	5023512
SRR5946685	2478	9512720
SRR5946686	5433	5529555
SRR5946687	3710	9649674
SRR5946689	3508	7190377
SRR5946690	3783	10868943
SRR5946692	6547	15689596
SRR5946696	2919	3995746
SRR5946699	5794	13842272
SRR5946701	5780	15009831
SRR5946702	5585	5646846
SRR5946704	5330	9639864
SRR5946712	4755	9053988
SRR5946716	3971	13013328
SRR5946717	3453	9176221
SRR5946721	8482	7986221
SRR5946722	4239	6269089
SRR5946724	3524	6342857
SRR5946727	3152	7283442
SRR5946729	3935	10466542
SRR5946730	4405	9881966
SRR5946731	3304	6349426
SRR5946732	2932	8498182
SRR5946733	7120	12509611
SRR5946736	3811	9877554
SRR5946737	5645	17134128
SRR5946738	3979	14299503
SRR5946739	5599	10761477
SRR5946740	2979	5784559
SRR5946742	3969	9735460
SRR5946744	6067	9472330
SRR5946745	4255	9675788
SRR5946746	2960	5432050
SRR5946747	10187	17644830
SRR5946748	3537	8695431
SRR5946749	2423	11878052
SRR5946751	4034	8318458
SRR5946754	1902	7064598
SRR5946756	4340	11028884
SRR5946757	6431	13187439
SRR5946759	4869	9846989
SRR5946760	8525	17042086
SRR5946765	6468	12209275
SRR5946766	2960	9336043
SRR5946767	1790	5328538
SRR5946768	4018	9664244
SRR5946770	2241	7261914
SRR5946772	2340	4724338
SRR5946774	6499	6149723
SRR5946775	2043	5872632
SRR5946776	7090	16427204
SRR5946777	6898	12561816
SRR5946778	3491	11953105
SRR5946779	2982	5800534
SRR5946780	3797	8006010
SRR5946782	4222	8686698
SRR5946784	4783	9089613
SRR5946785	3116	4998762
SRR5946786	5493	16229327
SRR5946787	5575	12464291
SRR5946788	3796	8237824
SRR5946789	2986	8158495
SRR5946790	5860	17788713
SRR5946791	8257	13517360
SRR5946792	3651	12031929
SRR5946793	3916	9343191
SRR5946794	2211	6052506
SRR5946795	8275	14478998
SRR5946796	4144	11491570
SRR5946798	10321	14095581
SRR5946800	5929	12791342
SRR5946801	1906	6264175
SRR5946802	3940	7779363
SRR5946804	7071	13024342
SRR5946805	3711	7954134
SRR5946806	6119	6575868
SRR5946807	5232	8580447
SRR5946808	3610	6171937
SRR5946809	4153	11293605
SRR5946810	6346	5514379
SRR5946814	4981	14177867
SRR5946811	5944	13494316
SRR5946815	5867	12743621
SRR5946817	5780	12891984
SRR5946818	8845	13214738
SRR5946820	4658	14739472
SRR5946821	10352	5119812
SRR5946823	6097	11360919
SRR5946826	1596	7492528
SRR5946827	4067	11330983
SRR5946829	3528	8474330
SRR5946830	3117	7665425
SRR5946832	4552	8421022
SRR5946833	3356	6202382
SRR5946834	3927	8168015
SRR5946836	2276	6705180
SRR5946838	6637	13230562
SRR5946839	2875	10552444
SRR5946840	2042	7052136
SRR5946842	4081	12396398
SRR5946844	4678	8641349
SRR5946845	2016	5070767
SRR5946846	7283	11053875
SRR5946847	7379	15312686
SRR5946849	2661	6009884
SRR5946850	3187	10470568
SRR5946851	4626	11767888
SRR5946852	8532	15245352
SRR5946853	1679	6310012
SRR5946854	3599	8039452
SRR5946857	5656	14821607
SRR5946858	2591	6343685
SRR5946859	6246	10994348
SRR5946860	1309	6703456
SRR5946861	4844	9443417
SRR5946865	5735	12219490
SRR5946866	3925	4649812
SRR5946867	11804	17286650
SRR5946868	1951	5496878
SRR5946869	2842	5705472
SRR5946870	2554	3989685
SRR5946871	2387	7007965
SRR5946872	3912	6976424
SRR5946873	2295	7890213
SRR5946874	2901	8577108
SRR5946875	5086	9691140
SRR5946876	9551	18708908
SRR5946877	2355	7132043
SRR5946878	2593	7376616
SRR5946880	5225	10450060
SRR5946881	4418	11423029
SRR5946882	6355	15026537
SRR5946883	6375	5580604
SRR5946884	4387	7805518
SRR5946888	6417	12008185
SRR5946891	4417	9795063
SRR5946892	6350	7347686
SRR5946893	6617	15738112
SRR5946898	3637	6396000
SRR5946899	7103	13062718
SRR5946900	10469	9681961
SRR5946901	1651	6408575
SRR5946904	3325	7366374
SRR5946905	9469	13262607
SRR5946906	3542	5123827
SRR5946907	2764	10660797
SRR5946909	3378	8136764
SRR5946910	8213	18852120
SRR5946911	5576	10876372
SRR5946912	3895	8899356
SRR5946914	5059	7864620
SRR5946915	1997	6607436
SRR5946916	4269	8031126
SRR5946918	5207	9087592
SRR5946920	2107	5196918
SRR5946921	7300	12531449
SRR5946924	6680	13748881
SRR5946927	5961	7742467
SRR5946929	6983	6932066
SRR5946930	5881	13245738
SRR5946931	5596	14620010
SRR5946932	2477	8160752
SRR5946933	3591	10246416
SRR5946934	1969	5026186
SRR5946935	6968	7418851
SRR5946936	3032	7992364
SRR5946937	2204	4736501
SRR5946938	3244	8976264
SRR5946939	4741	12000713
SRR5946940	2427	10279422
